Disaster Type,Severity,Area Size (sq km),Population Affected,Duration (days),Rice Supply (kg),Vegetables Supply (kg),Dry Food Supply (kg),Water Supply (liters)
Drought,5,44,11881,12,55863.05651681148,28581.16616600149,21314.346983886568,526984.2591353355
Earthquake,2,349,37138,4,53565.8802220013,26892.721477144456,22520.292932918277,564568.9345148841
Earthquake,1,3909,6577,13,31556.987076763195,18528.21379473619,13537.74417637326,344484.44449108467
Storm,1,1461,30820,10,134275.8582600331,65858.21476334591,44349.47901002448,1067891.7219895588
Drought,1,3546,26399,26,288648.16619481164,142232.01710931878,96080.1738208669,2368843.535914164
Storm,5,1460,27772,18,217076.90861859208,91803.71364383347,71773.57599690267,1957342.3322391277
Earthquake,1,2236,1179,27,13410.533851389195,6256.685335525512,4921.037610692863,122406.53264460193
Drought,1,2041,41382,26,438925.1446147255,225027.14452845033,155430.11829059402,3985373.0380393816
Flood,5,4253,1241,18,9466.869499506633,4626.240727847809,3382.1489169529077,84128.10308813408
Earthquake,4,504,39984,18,295239.9926437274,148187.48997799435,115378.93890654549,2628724.0094954506
Storm,5,1461,10043,9,37100.012612423365,18943.968723204565,13862.49808901316,309044.32400270697
Earthquake,2,4544,28479,28,333736.8330306786,155403.48500305254,120135.32477655247,2757415.440791382
Storm,1,136,5702,8,18423.712731290776,8945.734573448459,6869.238186102899,189802.26488533348
Drought,4,4089,21023,13,101295.75560252593,50929.12394773742,44678.426719914634,1112971.4600535196
Drought,5,3570,10404,6,24247.67561564914,12907.333148961197,9333.26669244783,232418.34001132814
Storm,5,500,3829,23,33421.79241986579,18162.59748298547,12414.313737137229,321000.95246444485
Drought,2,3169,32726,15,177709.9986925372,95327.53638270334,77760.10761118971,1881761.4977847834
Storm,3,4754,4440,13,22683.512372016423,10841.560544069307,8680.813972479575,202325.4514489807
Flood,4,3839,6872,28,78494.94172868971,38588.70442676433,27639.699412410864,656406.695322428
Storm,3,2306,40032,6,88223.65151206475,46296.427734467674,33180.18992144612,841596.1482969687
Flood,3,1258,28411,19,221351.1381900711,109052.89823883875,79471.20228779413,2051912.4729986326
Storm,1,4258,4703,11,21057.78785233941,9966.005872730544,7957.003740704224,207886.7286817992
Flood,3,2898,42724,10,159985.49181810173,81496.84372182009,60223.46727100943,1535231.7277277908
Storm,1,54,40681,21,336697.0928454776,174804.36350486882,117421.32121574147,2966949.5235812166
Storm,2,2050,23383,18,161060.45645788842,82500.49083472785,67071.97741197675,1438192.1198035108
Earthquake,1,2678,46316,26,523376.64106107637,217728.89279641272,168124.8239615491,4909988.0338395
Earthquake,5,797,39090,18,303170.9444409519,149619.98143094516,95388.61094166791,2788861.118992036
Flood,1,76,48723,14,248680.7898970059,126537.17078749117,92105.48927082514,2790042.8842986417
Storm,5,1197,13040,12,60796.50248678273,33873.074608772455,21313.932426856234,593723.69759518
Storm,4,800,42698,8,144934.23428302738,62629.083966758626,50068.76285711638,1260300.8049938106
Flood,1,808,7701,20,60296.431429367585,28528.92328717178,23896.397955023105,609701.649670411
Earthquake,4,1139,28122,6,65696.97057017112,31365.436748777418,23824.524840874004,614799.1238986845
Flood,3,1860,39967,19,305171.1827476993,164678.0355581165,121015.44935113483,3061173.053113048
Earthquake,1,1525,31770,3,40763.12788045092,17852.757762466947,15601.175376811156,351850.5958737604
Earthquake,1,1177,21593,8,73414.689860705,31663.325488132818,26429.665431223486,651959.1206537155
Flood,5,982,33898,27,386972.1341563247,174764.33674385198,148594.36057891292,3185342.8478010716
Storm,5,3207,1562,17,10981.368428762307,5025.376288660076,3778.8236302862833,96608.17077419338
Drought,3,1199,6321,19,52386.09572610675,23197.470703240007,18599.661531234626,477469.38379061833
Drought,3,1821,32579,22,307251.6159377898,132788.24031180242,111919.51827414184,2844143.347859571
Drought,4,3116,49630,3,55611.70692889745,27119.627364381464,23304.850873566233,560784.5244854384
Storm,4,3168,20108,27,231779.18794935776,109645.35286286006,76375.18268464206,2145512.1092252554
Flood,3,392,28486,16,194295.8132646909,97163.47105212632,71229.43198967495,1588966.7835654775
Drought,5,1350,29186,17,190694.58013121836,92072.71971630011,76091.53128725229,1805220.8638198099
Storm,3,4667,43354,8,144148.58074244557,71164.77032526968,55806.84281069631,1216215.6499489967
Drought,5,1961,25955,20,209477.91869156936,113699.07138835006,75827.05794619075,1908675.985215873
Flood,5,1115,27225,7,82022.17839908008,38157.08499530816,28630.603500383593,669155.9536645496
Drought,3,3649,11457,29,132050.1130079774,65263.9151563647,53003.889609354024,1356940.472579509
Storm,2,3209,39636,11,172934.45157728804,82955.16622977238,68697.02521795651,1654494.1554626187
Storm,1,3741,47651,16,297428.5432052142,154641.18741067575,113875.32728971927,3094716.4117492405
Storm,1,2669,40377,22,372535.73883811734,165855.66793699175,123127.2372769762,3071433.551249161
Storm,1,522,315,4,505.2491963297964,244.381128135915,184.2683821404299,4884.827575932197
Drought,2,1138,19994,4,34663.7793973032,14741.268956173864,11354.92043374862,317860.4069518209
Drought,1,3521,13429,22,114423.00621980173,58427.98629445324,45871.95015627651,1120221.9582288922
Earthquake,2,928,11545,19,79524.47897538445,44177.80458582915,29861.000533460927,881413.8705297784
Storm,2,4575,16676,4,29307.793255662356,14294.748866379372,9199.882838503489,262895.379120137
Storm,1,1877,7565,19,53146.06801508378,25977.37068586833,23302.901847084788,497102.7600337748
Drought,1,250,4731,15,26597.229512780475,13989.061274163298,9711.04602893772,253771.61443834964
Storm,5,3615,12846,20,109095.74733513029,53823.81451570502,38823.49963750524,1038567.8340634323
Storm,2,3840,41181,17,269648.8770144502,144888.42695075853,112242.95751453623,2870152.1204257472
Earthquake,3,1515,24454,18,165157.06874624302,93690.61292131418,66615.15779390911,1525388.5047815682
Earthquake,1,1561,8783,27,101571.14952112011,42810.86375684698,35654.9588775403,945947.8682240419
Storm,3,3970,12062,23,121641.17618087574,56660.66722755972,41644.76408985556,1129529.0862103815
Flood,4,336,35574,2,26567.041931074964,13689.753115390975,10679.339980570998,285261.18287495326
Drought,1,138,49689,15,300939.163413951,136767.37753676073,109058.08450133195,2772297.393229476
Earthquake,2,4496,36786,12,193157.0802513936,92430.71494356926,68858.04890296925,1788755.4206046157
Earthquake,1,3150,40864,2,34414.129829705256,15066.336263120595,13439.166578551029,302016.3182020679
Storm,5,3235,44678,15,274960.90757774323,137606.35999290316,99525.92436568122,2552375.8789285147
Earthquake,3,2089,43701,11,175710.90519836833,92965.45100465242,69420.00128415412,1868852.2271594002
Earthquake,2,2640,36029,2,29911.624581414988,14561.297212211806,10250.621300557184,268702.849648197
Earthquake,2,4161,41779,9,151188.9851066117,79102.34935823537,58800.58836182249,1335862.5994566993
Earthquake,2,1475,21218,4,34066.21859337808,16679.410042395928,11965.285511471948,315610.2329605384
Drought,2,1002,6958,10,29086.038026351198,13527.448692278602,9575.052434522073,247671.89528495746
Drought,1,4833,5020,2,3933.4884469854574,1905.8131313793078,1600.0726454904152,36806.93212743157
Flood,5,2425,25793,8,86081.69315286739,39124.63354903805,30603.52659580951,747017.384896412
Storm,5,922,35189,10,131359.95601698867,76240.33469544153,50966.03951380015,1297828.8276970626
Flood,5,744,30951,18,222936.70424864464,113276.08026985664,84887.49003937675,1920812.2360246624
Flood,3,1006,26970,19,188045.7930558978,102227.41637784021,79807.11991054393,1847128.535995128
Flood,2,1726,47653,1,20622.4970707558,9662.037425793202,7522.752168089008,191614.50884102815
Earthquake,3,4672,25341,3,33363.56477106055,16090.372230739016,11634.6756361787,278494.27787169145
Drought,5,1162,39572,25,387954.09561076056,204735.88152501604,146921.44909958815,3930949.0285756676
Drought,4,3152,44364,14,250708.92667567162,116867.02301874958,89287.10586644383,2467736.6349702636
Flood,4,3020,5655,4,9437.290235860642,4937.615596482008,3343.5334837815294,85190.33466778017
Drought,2,565,22532,13,119938.34140864463,60700.07315503161,45402.549983992976,1111119.684170529
Drought,4,1969,18085,10,79245.34235372383,34306.18663061934,28013.542254413962,730941.1686596278
Drought,2,1309,39569,3,47410.26815711235,24695.166581843292,19072.242216291066,441963.5362739029
Earthquake,2,3637,24913,6,59758.36131678651,27972.81125128473,20664.533858051887,604485.279339865
Storm,5,3132,41035,7,116173.30529938609,58413.21584975261,40561.8113096891,1163633.5598481868
Flood,3,3150,39534,15,233899.58377296312,110667.52085493178,92627.04943604583,2260410.7660132498
Earthquake,3,4510,1272,25,12871.99041843287,6815.293210604603,4929.248784875582,118807.82153467287
Storm,2,3733,463,23,4054.205729781772,1939.322055323917,1669.5773275035458,37253.67750870103
Storm,3,3850,39791,7,113656.09135513648,51988.99043798458,40775.62252580423,1078973.2418279282
Drought,2,2254,32886,2,24316.776093189845,13736.17269632292,9241.856549804306,240402.43630815303
Earthquake,1,2952,39663,9,140156.37039040148,68246.89750814259,49650.936200553435,1412734.4836829526
Flood,4,1145,5227,4,7668.998015120717,4128.2812767630185,3235.4967583557827,78151.00201541284
Flood,5,2293,9621,7,29058.370263191093,13167.238982112183,9673.479980368764,266363.7873072788
Storm,5,4191,19087,10,82769.414751162,34448.240712621475,28932.923259850835,757216.0914926677
Drought,3,79,20408,25,193329.46489098965,101703.22892085966,75445.56212391407,1766922.6769521849
Flood,4,2005,42381,27,435319.1215258704,243869.36813966406,167454.75493432215,4747937.91539222
Flood,3,2848,33605,25,305989.92102482263,179254.58485634468,116390.22398424076,2890600.934550346
Drought,1,4635,31506,1,12333.367707962872,6448.286022684774,5066.919939193788,115581.99928759506
Storm,5,1575,32527,21,251341.04199864395,143897.51568666508,112014.94757219881,2828475.503111212
Drought,1,952,37488,8,120374.49409624003,64157.640962405974,46651.63731690178,1087470.896719605
Storm,3,3391,22323,1,8207.078980586994,4392.3950728828,3089.4806120694757,78948.36574778962
Drought,5,3491,22017,22,184052.2069656032,93838.26886960413,77771.79298070948,1855069.168581412
Storm,4,2955,27694,12,145258.8457108792,64830.36236008407,50878.21771504212,1152129.4359875333
Flood,2,3169,13615,16,79036.10187206401,45713.11089848909,34649.880503952605,768554.6440098734
Flood,5,3411,49047,13,243391.44458209374,122834.8696205091,102240.36632880957,2401929.108583939
Earthquake,4,4521,11718,15,65865.16396666129,36957.05630943245,26229.232264414975,628803.5863932077
Storm,5,4526,22456,16,136605.2127099853,71037.55285846426,57637.575297659,1279972.7053247425
Earthquake,5,264,4811,16,32690.602034922365,14834.521206734891,10412.029040007115,284485.94653187046
Drought,1,1765,40556,12,190893.44434596738,99953.79461074813,74770.13969384517,1702332.5211363276
Storm,2,1878,31434,10,125437.18948823685,66804.32638705148,43371.654937091735,1172797.4223438925
Flood,1,4176,11931,9,45230.75191413892,23320.156667689535,15155.9093364614,430652.5543850205
Storm,5,230,3766,22,31700.934691867467,15922.465625543206,13628.193445945983,322549.6714560608
Drought,4,4320,19503,2,16544.286208853613,7699.052590186206,6283.320912084453,138208.31213868625
Earthquake,1,4096,8517,9,31231.842890365428,15297.569470333823,10654.792603596054,275192.3965497163
Drought,2,3417,6831,20,52461.30834262163,27183.601991773,19132.34698591691,502089.64112463186
Drought,3,4961,40966,14,247044.01441470438,106715.44809633946,87711.4572923427,2242311.1290322673
Storm,4,442,47262,9,173045.7350645301,80927.13330543868,69341.58009378493,1491182.3826708102
Storm,3,4032,12091,17,85791.4021438863,41784.17076968763,32668.435765068403,834690.450479218
Drought,4,3501,806,22,7361.079614133663,3804.323325658441,2924.082611755123,66133.83027784927
Drought,5,1857,39719,12,179364.44319433082,101549.68695572161,72319.0813650702,1643337.0832972224
Drought,5,2008,15604,18,119976.2327039124,57868.993144256696,43100.3529815227,994141.8881625241
Drought,4,28,33232,12,150819.521907786,74431.99675537497,57816.455746821455,1642201.584445459
Flood,2,3049,4237,9,14274.444615692666,8223.213804814475,5674.596943312511,150385.92078778654
Drought,3,1226,17364,7,49940.77454003899,25602.23101609718,16697.825998716526,418383.18989330105
Storm,1,3655,35394,20,289148.97900234023,139547.266903467,96139.44771167317,2831244.3780445107
Flood,5,455,39232,11,173847.8740280241,85913.08548203736,63298.432733525464,1759990.0516477297
Flood,2,2276,13944,28,169507.06986429874,85302.4969543468,58669.736882101824,1463842.1598432153
Storm,1,165,44648,24,426241.8258833346,206780.77036387904,175267.67155893,4318354.254852091
Flood,1,1420,19981,21,164224.01143122578,83039.90823817435,65835.4185650175,1543007.2986196342
Flood,4,2741,30928,2,23768.6370359576,13525.577553052919,10103.63459402199,226393.13725663803
Flood,1,2258,17332,29,213543.86092733147,109540.12366316757,69231.86613589822,1773631.4145442639
Storm,3,2386,25716,27,264270.09127723833,137476.17164969785,108168.08490028948,2750597.888736068
Earthquake,2,767,24618,17,180212.549173097,76954.52775942245,57197.719354657405,1466579.9573141518
Storm,4,2785,41366,24,412598.65829126973,199159.10332439007,163520.01818382004,3841364.868646176
Flood,3,3692,21882,17,160574.22639147917,67389.6044865053,52893.59382388504,1276318.3246428075
Drought,5,428,36260,21,287794.2931038682,152429.1518620318,108755.88800490876,2599151.4861209025
Storm,4,1913,16401,27,184462.46765195898,91299.35118754784,71372.90678126224,1590333.3302548802
Drought,2,1435,15967,6,36500.447098151395,19471.624206977518,14997.32777136577,335372.85126236815
Earthquake,3,4699,38385,28,446259.2419537816,229463.36303215215,155509.58555054505,4384545.908917406
Storm,3,2775,42233,23,358977.8308729904,183793.52607074945,134234.38570804632,3913184.4042499573
Flood,1,1168,22300,12,116641.9231714179,55780.25757689722,36180.5626920493,1066316.2555863583
Earthquake,2,4691,23090,12,121545.92480897711,52552.115266992856,43068.88941558981,1094050.4944371115
Drought,3,4608,43082,23,357334.6285581902,197863.7633507107,163094.50666181417,3584181.926724057
Storm,4,3864,17585,6,45106.05561956703,20934.572725332728,14932.581106265634,370104.8185832834
Storm,3,518,46698,13,245005.40592343218,112324.31590050853,87231.57977999678,2177717.15545897
Storm,3,334,26669,9,90583.02161949706,46724.20525540758,35217.68675123528,995049.681497274
Earthquake,3,4364,23644,5,43202.66970175338,22778.176286453294,16905.913549022025,447993.01490663324
Drought,5,3405,25489,14,128824.15803265858,73431.55665053512,50131.84424743107,1278375.7668864995
Flood,1,2827,3932,13,20075.02217124225,9874.342029185798,7963.94058776789,203776.378514314
Earthquake,3,2496,8518,28,94377.48977297879,49866.59307067917,37155.96739053087,990730.8129011043
Flood,1,2750,7535,13,42434.877528765675,18244.55814339295,15433.196673424742,375821.92499610165
Flood,3,4364,25192,26,266152.7715455376,141190.0915231488,99610.6263105035,2544456.5075799967
Storm,3,3793,40622,13,210896.49802310966,101608.71640206425,74171.21433861954,2000457.659439707
Flood,2,2768,48884,13,272890.53932887147,132376.048850937,87816.3611316553,2538052.785665473
Storm,4,3416,10079,17,73119.93707824714,34798.75855300727,26454.026366811195,643132.7213570935
Earthquake,5,3056,2933,6,6455.3241820545845,3777.3640363470877,2639.2704949057425,63897.967656117995
Earthquake,2,2745,46479,18,315930.37956420303,154046.09276873787,127627.56878771233,3159357.952146143
Storm,5,2738,36403,27,425443.18570623297,194047.13184089377,136495.22605703454,3900484.7741482845
Flood,3,3943,3485,13,16488.515492880848,8621.503836127653,6300.559283091027,163250.06018297287
Storm,5,4576,25663,2,22458.167192233723,10170.608515119406,7709.677875104323,197073.06366965894
Drought,5,4287,37600,26,378601.9540346709,214980.9761827012,139705.4377906815,3536763.0068092975
Drought,3,1903,13853,11,63700.07291196042,32526.935070461157,25026.344564190687,631632.2059658641
Earthquake,4,4052,37301,27,414722.17934118153,186453.4470616671,155606.77651142734,4179818.0691025676
Flood,3,605,2086,19,14575.857604928706,7235.961268620853,6055.317477159714,159766.70452805166
Flood,2,4011,1311,6,3416.081425739622,1617.5913316310907,1135.453855272164,29923.56917540422
Flood,1,396,33837,5,65715.29753450191,35072.12988238838,26201.16743120977,667942.208965902
Drought,2,1617,15720,15,97253.54010890507,42819.36650502987,36061.00484149295,958493.9372635476
Earthquake,5,897,8499,23,78096.64497091812,41983.39518964325,30710.373752728105,740034.3752006149
Storm,3,4463,11537,25,124071.67767083965,54722.06743230837,43701.325058027796,1024548.2790879088
Flood,3,1992,23480,24,205065.6636782065,120451.92197072339,83480.59792962605,2065691.3804089203
Drought,1,3352,48833,26,533573.1495417961,265483.0699286221,204527.29477474286,4507169.953444622
Flood,1,3825,31936,16,205430.5479110433,94213.57036767957,72091.35409536629,2126798.256192904
Flood,1,3330,10850,27,111888.45326951351,53042.7968336983,46009.805831335885,1136680.2704911225
Drought,5,3470,6797,7,19752.582224997102,9104.332893278955,7413.5644613665645,173092.44139739766
Flood,5,2980,42212,23,398319.13088783476,181907.26225677575,134145.46154364228,3904696.461380183
Flood,2,3407,33432,2,24449.711886196095,13801.76800432778,10649.82004055113,261828.29711293362
Drought,4,4042,38884,21,296146.438880178,165919.03854926454,114314.9640717882,3221876.3143725535
Earthquake,4,1846,40957,13,200696.79296166706,98911.35204336577,84002.84649987576,2015538.8923624658
Drought,3,2010,31062,22,294944.087822006,138693.62040710181,99445.40398712458,2758637.3934652065
Storm,3,1613,17806,5,34938.731467495774,19529.939399077553,12799.617738555231,323150.11209861963
Storm,2,4364,20271,7,61058.23963761484,26657.719610979504,23188.665840531277,505459.1741857356
Earthquake,4,4381,10837,21,99145.56057869465,47125.007002767816,32781.9220525564,807681.0165507868
Drought,4,2050,1852,16,11670.13304705199,6276.743137810593,4126.004324356158,103864.68089235233
Earthquake,5,2125,43399,20,369514.44943877426,168529.238353319,134254.47928874491,3309796.6861974006
Flood,4,2441,24463,7,61888.8268912652,31527.30546558365,24002.15305721947,639200.6446267533
Drought,3,110,22359,16,148085.79841837936,78416.84726238961,58873.22246901632,1404615.8870273863
Earthquake,3,2013,1637,19,11753.481865072901,6664.871444507489,4961.339463161513,116508.67414645487
Flood,4,3470,8797,10,34831.01455166212,19144.021542127586,14390.57523646009,315607.7293644114
Flood,1,4077,37063,18,254471.44709165144,144426.72519348026,102735.54066293749,2636739.311668585
Earthquake,2,3942,47463,18,338845.52850359044,157045.69566084564,138354.6013436681,3515256.851601604
Earthquake,3,4167,46029,6,99796.31004844401,59759.2418466931,39517.433941238036,1112151.4527603793
Flood,1,470,15143,23,143853.38180603922,76142.22557985665,56588.05690551018,1319032.0095901487
Drought,5,936,37520,9,123233.27380819796,70701.41279728091,50872.16822635092,1204806.9105884728
Flood,3,4579,19228,29,204683.61677157108,108003.32237292058,91694.55371318848,2165302.4585921937
Flood,3,1174,15178,12,67575.8670268024,33180.42980963324,24689.61614285812,640248.3618501681
Drought,4,4152,28901,18,200009.03903722254,103692.65356187173,71215.499528473,2012793.2204378846
Drought,3,3464,43068,2,35400.53268444474,15748.060921702745,12562.608768394499,328293.8575284908
Flood,3,2083,49564,24,469349.7272007204,252009.89738488637,181835.38024379933,4850514.7406929685
Flood,4,4555,10862,7,32908.83305149871,14155.753908349461,11694.26609020107,260667.55180398724
Drought,5,2023,20181,11,92988.21876607863,42800.00787841533,33338.90601939588,783521.8688796109
Flood,3,4386,9590,5,18579.19720080806,8667.632264360447,7465.514709259558,197661.38927281785
Drought,2,711,31926,18,207223.58623818262,113156.41897381174,89959.7038218293,2150188.7835719227
Earthquake,1,376,8819,23,79234.67189266183,37953.918752861195,29523.250566750543,758552.8775002882
Flood,5,4238,35890,13,169053.9837316874,94083.6205483357,63727.50063423281,1837010.2790433501
Flood,2,3225,44848,7,125759.99306334193,62052.63902636797,43612.045287042536,1138578.8585623158
Storm,2,687,205,24,2005.0520836855646,1027.1583598561424,755.5270546107428,17064.191383458845
Storm,5,3267,6313,14,34189.033999234736,19275.279925299543,13344.944779474523,343326.8695440504
Storm,3,953,29899,18,233783.48783119838,106747.4334624075,75587.09285668764,1956514.148841342
Flood,4,907,39932,13,225652.68416002952,112806.02910201848,72030.92729952878,1918504.6784381228
Storm,3,2895,27482,16,180497.09844548404,91722.13688015364,65031.35578266307,1599881.9321257097
Drought,5,4940,6894,25,71939.73634395801,36378.4065057545,26749.16670833656,667283.3743550618
Storm,4,342,11660,2,8441.224267190733,4577.154856801178,3302.601072719821,88854.20051649117
Earthquake,2,38,47699,22,381265.0392368197,197568.3972676741,170788.30182345895,3865538.782959639
Flood,3,779,29605,6,76141.29738019877,34871.879787067184,29203.763950333345,692514.6611900979
Drought,1,1470,15782,22,133574.03752337975,67617.63395520399,54890.1548207505,1395891.3025759829
Flood,3,4484,3171,12,15171.719813695934,8215.476003552734,6173.283925301298,132142.21097044466
Drought,3,85,20810,12,94236.40147705769,50363.799993483546,40965.63335220854,878620.9150627269
Flood,3,620,29780,2,24003.066606587858,12092.567983201792,9193.354168842054,203656.2257759161
Drought,4,40,24174,23,211626.74839987163,115678.74169038906,75300.01169803043,1914860.3577027791
Flood,5,1422,35607,13,200087.0673615489,96535.10815140481,73851.65178581487,1810676.935268968
Flood,2,1666,9341,6,21626.774260555652,11924.872026059691,8468.313427440577,227405.25061121242
Earthquake,4,930,21404,19,167324.7578087108,85605.85169385614,62037.58068719072,1467302.1553123724
Flood,3,2878,10807,5,21419.287599687068,11354.862173612024,7509.46655746308,206441.5303993733
Drought,2,341,23344,13,109265.15469810169,66315.84408367272,49322.195527588265,1209420.3385256787
Drought,4,658,37963,18,246870.54879278058,139842.47081402343,111947.11226673219,2794816.3073684564
Earthquake,4,4090,48034,5,90989.50994632723,50086.59160780184,38717.88760681365,841192.7739888794
Earthquake,4,3171,20639,23,187127.14688909517,88499.85594945983,74057.68625403882,1889751.2775904748
Storm,1,1186,24440,17,165345.89492831018,80794.02724031865,60561.1170624304,1581796.949791507
Storm,3,2523,7930,14,40459.53363458047,22444.636520582077,16945.767483294672,456730.3921581868
Storm,1,1564,43838,6,111396.67344180582,52463.38355620271,38144.67997529415,917274.2444879608
Storm,5,868,5619,26,54587.006857259,28911.129244257114,20645.096860408757,573932.3799206408
Earthquake,2,2073,1547,12,7126.33806981309,3840.789021226131,2689.2330902376243,67146.56182880088
Drought,1,4065,38270,20,320305.22569850885,140117.8714593933,118576.52650630208,2744979.22540868
Drought,1,4874,42184,6,109686.70409527421,51465.42035031321,37681.69554586663,1018984.9310308471
Storm,2,2675,42819,17,292287.695885942,137850.27518066045,100968.01164626452,2547828.02269385
Earthquake,3,2082,31107,20,251086.97789787748,118697.90310874824,97098.61020999252,2429636.2916464587
Drought,4,3548,37889,21,293447.4222951601,155422.41352272834,127398.42968667275,3231631.907365065
Earthquake,4,4704,16879,15,96912.62990038737,49380.910952965176,39924.56615711867,965906.8449077477
Storm,4,3211,29042,20,228177.12582911892,126232.63095755009,89520.26571556694,2331191.0046525565
Earthquake,4,1537,14117,27,159793.3881026994,70407.78236400858,60107.3163732236,1325901.009737093
Storm,2,914,20038,11,89573.84493203218,44438.18438035239,30089.192406947783,761350.4336170482
Drought,3,304,32636,21,287609.8281170337,150658.2198490712,106209.28693521016,2590689.788512341
Drought,4,4923,17658,13,98960.66543365427,41886.02589474102,34089.21091726857,817550.2873357529
Earthquake,5,4766,46837,1,18584.85291701706,8953.99693887593,6842.030219087525,165206.82682422167
Storm,3,4501,29383,12,132510.94480935647,67963.8285110292,53878.393866993654,1257201.8963053399
Earthquake,4,4759,39439,17,242208.56191630388,130340.67915012274,92319.17743083238,2414283.8529505893
Drought,5,3969,26569,2,23380.079132281473,9569.48243932594,8191.763596144983,186696.19057268157
Storm,4,4949,5532,11,22259.77024250513,12665.199913943163,8949.856013528582,249673.9498990852
Storm,2,4780,26839,29,337899.3621777857,155158.4424828267,112442.83653950342,3116228.310073849
Drought,2,2175,39320,8,119369.94194273905,68343.3093441679,43454.9139792335,1135351.682105523
Drought,2,4843,19562,8,58722.079042267265,30464.90047229181,21623.70189509835,607525.6714513355
Storm,4,2011,44243,25,449381.808111671,239413.99597486263,167706.3858469144,3913951.8564003627
Storm,2,1628,9555,28,110241.9841427732,57433.57681124395,43293.10655380556,1097658.55762298
Storm,2,4508,2205,9,8345.89705932365,4053.7113211237893,2778.3718400016,79581.37434598008
Drought,4,3120,41394,16,255794.90389599276,122277.3623332179,97132.794893981,2274800.2034540754
Drought,5,1668,12370,14,65329.90930256088,32007.00168039576,27803.376222878487,610469.1809133136
Flood,2,4875,47919,22,452348.6500594619,204136.57238208278,170767.90644582908,4342056.264559356
Storm,1,3448,46528,1,19860.161245405572,10164.716736975353,7363.170180185357,180403.29856761175
Flood,4,758,12278,27,120998.21214556045,64762.30948535124,49173.35532341543,1164814.0425773158
Flood,1,4242,39387,23,354347.50128936354,197548.10646606376,130985.69811413469,3681264.876779151
Flood,3,4869,41761,23,399734.97435535374,187172.3353562026,130178.3311995561,3783250.5751772914
Earthquake,3,2732,4756,14,26006.982402832597,13165.327646439238,9740.287985176696,245333.8596580014
Drought,4,1928,3332,15,19927.425720180843,10452.662236609038,7221.791992054266,183203.44475578202
Flood,5,414,18205,21,140210.23324503383,79290.15007847066,59728.502701007455,1406505.5470576251
Drought,1,1425,44653,9,175242.3146489415,78907.73815947026,59879.87179847521,1385029.4196282164
Flood,1,1479,37593,4,60253.530900685495,28529.324875548704,23659.909710499644,531392.8576513926
Drought,4,807,33647,24,297507.49896018946,167062.03098056494,124410.05513848287,3243406.564536564
Drought,5,852,15899,1,6064.832996520466,3497.3579006183095,2229.994173109521,54281.67617717455
Earthquake,2,2631,20819,26,218273.6735897578,107353.86047416774,88420.65249042433,2119936.07802342
Drought,1,2721,45812,2,36428.26809187313,18161.583102780438,13969.393062392937,336862.5317316742
Earthquake,1,3357,46861,12,230126.5622502083,105554.01474643544,86144.52953805942,2203970.16544777
Flood,5,1024,26808,13,148535.47892169803,76222.90690769245,56351.38628056058,1345610.4740262695
Drought,3,1404,20554,7,59030.310730897894,29105.09117096746,22628.999427702667,520591.4030069994
Storm,1,1085,35518,1,14756.736920967425,7800.665949555259,5091.034110384994,134386.94545874247
Drought,4,4986,43742,29,515837.02823262475,277055.39634971664,196379.3666115636,4823147.794899978
Drought,5,2918,4812,4,7002.855656591016,3735.8296723264684,3093.0989291453056,71339.11723233016
Flood,2,2745,37359,25,391167.50038001104,197903.205722277,133635.5121955976,3809024.04081226
Drought,3,235,26953,24,255440.4626944342,120496.79657146598,105716.3204518646,2579081.6497334884
Drought,2,2813,23042,11,96359.03290678804,50599.23042320003,34791.71440401144,981968.8314961619
Drought,5,2848,47852,26,460449.473559689,250300.17224789687,177995.65886726163,4258016.827932388
Earthquake,4,2748,42417,7,110311.42345944399,65315.86030714945,45627.9221759125,1108326.719038256
Earthquake,4,2299,33834,26,346971.5203522799,169613.5871597802,142684.39196627768,3123995.6552931685
Flood,5,1676,11358,6,28268.88869372071,14943.213051964878,10612.904484972896,277708.3570091731
Earthquake,2,4617,4085,13,21403.953299053144,9708.762445332559,8657.229659819777,211709.87565877818
Earthquake,2,276,17321,27,188827.58462190843,96338.50591571789,73710.42041237411,1813313.7661761667
Drought,4,4657,42870,3,51263.874601157026,26352.57687661097,17401.114267003857,457079.20077326987
Drought,2,2749,13331,11,57769.187061802484,30587.529967520808,22452.75821163581,532715.5324894633
Storm,1,4154,12039,21,93656.98829687602,49267.7161614919,34326.54249353073,903672.9660139586
Flood,5,2384,2372,7,6607.665647851078,2995.341166941278,2283.763716842845,66712.75969323529
Drought,4,2498,10992,23,98069.76185955865,54842.55284123379,35697.44110294744,1028506.2034825936
Storm,3,3752,29923,13,163293.5688368998,73278.35058128122,58782.61281423284,1542215.6918477607
Drought,3,38,25696,16,170248.3697157373,88932.84132031928,64504.40787139071,1629433.0627032078
Earthquake,5,3378,20065,11,95811.37479972036,39809.02420325546,30295.862952727446,793695.8982369042
Storm,3,3750,15310,7,44707.57173046429,21963.041409892303,17588.380321859186,410421.19020115066
Flood,4,2512,46332,1,18751.993565379384,9271.558497105618,6455.580935516192,173334.6895221433
Flood,1,2926,29111,1,10499.74518310676,6126.125806785782,4552.681771511615,107238.48448256557
Earthquake,5,2989,23624,26,232921.18991320205,118508.98329392074,86307.30864687236,2360610.642162998
